TimeGenerated	UserPrincipalName	OperationName	SiteUrl	FileName	TargetFolder	ClientAppUsed	IPAddress	IsManagedDevice	Parameters
2025-06-01T09:01:00	dylan.miller@contoso.com	FileModified	https://contoso.sharepoint.com/sites/engineering	Report_87.pptx		Teams	86.23.123.45	TRUE	
2025-06-01T09:02:00	bilbo.baggins@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/marketing			Office 365 Web	78.137.97.10	TRUE	
2025-06-01T09:03:00	holly.wood@contoso.com	FileModified	https://contoso.sharepoint.com/sites/engineering	Plan_36.pptx		Office 365 Web	78.137.97.10	TRUE	
2025-06-01T09:06:00	derek.zuniga@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/marketing	Report_42.docx		Teams	86.23.123.45	TRUE	
2025-06-01T09:08:00	noah.rhodes@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/finance			SharePoint	78.137.97.10	TRUE	
2025-06-01T09:08:00	monica.herrera@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/hr		Inbox	Browser	66.249.64.1	TRUE	
2025-06-01T09:09:00	dylan.miller@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/hr			SharePoint	86.23.123.45	TRUE	
2025-06-01T09:09:00	taylor.swift@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/marketing		Inbox	Office 365 Web	78.137.97.10	TRUE	
2025-06-01T09:10:00	brian.ramirez@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/finance	Strategy_51.pptx		Browser	78.137.97.10	TRUE	
2025-06-01T09:12:00	carla.gray@contoso.com	FileModified	https://contoso.sharepoint.com/sites/engineering	Report_29.xlsx		Outlook	66.249.64.1	TRUE	
2025-06-01T09:13:00	connie.lawrence@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/marketing		Inbox	Teams	86.23.123.45	TRUE	
2025-06-01T09:16:00	carla.gray@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/finance		Inbox	Teams	66.249.64.1	TRUE	
2025-06-01T09:17:00	abigail.shaffer@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/engineering			Browser	66.249.64.1	TRUE	
2025-06-01T09:21:00	bilbo.baggins@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/hr	Report_94.xlsx		Browser	78.137.97.10	TRUE	
2025-06-01T09:25:00	lisa.jackson@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/finance		Inbox	Teams	78.137.97.10	TRUE	
2025-06-01T09:28:00	jamie.arnold@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/marketing	Budget_65.xlsx		Outlook	66.249.64.1	TRUE	
2025-06-01T09:28:00	connie.lawrence@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/hr			Outlook	86.23.123.45	TRUE	
2025-06-01T09:28:00	dylan.miller@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/engineering	Budget_72.xlsx		Office 365 Web	86.23.123.45	TRUE	
2025-06-01T09:29:00	allison.hill@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/engineering		Inbox	SharePoint	78.137.97.10	TRUE	
2025-06-01T09:32:00	bilbo.baggins@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/marketing			Office 365 Web	78.137.97.10	TRUE	
2025-06-01T09:33:00	dylan.miller@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/finance			SharePoint	86.23.123.45	TRUE	
2025-06-01T09:37:00	derek.zuniga@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/marketing			SharePoint	86.23.123.45	TRUE	
2025-06-01T09:38:00	dylan.miller@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/engineering		Inbox	SharePoint	86.23.123.45	TRUE	
2025-06-01T09:40:00	gina.moore@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/hr			Office 365 Web	86.23.123.45	TRUE	
2025-06-01T09:44:00	ethan.adams@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/finance			Browser	66.249.64.1	TRUE	
2025-06-01T09:45:00	dylan.miller@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/engineering			Browser	86.23.123.45	TRUE	
2025-06-01T09:46:00	carla.gray@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/engineering			SharePoint	66.249.64.1	TRUE	
2025-06-01T09:46:00	zendaya.coleman@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/marketing	Budget_78.pptx		SharePoint	66.249.64.1	TRUE	
2025-06-01T09:46:00	ethan.adams@contoso.com	FileModified	https://contoso.sharepoint.com/sites/finance	Report_20.xlsx		Outlook	66.249.64.1	TRUE	
2025-06-01T09:47:00	gabrielle.davis@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/finance	Strategy_34.docx		Browser	66.249.64.1	TRUE	
2025-06-01T09:48:00	margaret.dds@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/marketing			SharePoint	86.23.123.45	TRUE	
2025-06-01T09:48:00	ethan.adams@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/marketing		Inbox	Outlook	66.249.64.1	TRUE	
2025-06-01T09:49:00	noah.rhodes@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/engineering	Presentation_51.pptx		SharePoint	78.137.97.10	TRUE	
2025-06-01T09:49:00	patty.perez@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/finance	Budget_69.pptx		Outlook	66.249.64.1	TRUE	
2025-06-01T09:52:00	angie.henderson@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/hr			Teams	66.249.64.1	TRUE	
2025-06-01T09:56:00	beyonce.knowles@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/marketing		Inbox	Outlook	78.137.97.10	TRUE	
2025-06-01T09:58:00	ethan.adams@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/finance			Outlook	66.249.64.1	TRUE	
2025-06-01T10:03:00	angie.henderson@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/marketing			Teams	66.249.64.1	TRUE	
2025-06-01T10:04:00	allison.hill@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/engineering	Presentation_18.pdf		SharePoint	78.137.97.10	TRUE	
2025-06-01T10:07:00	angie.henderson@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/finance		Inbox	SharePoint	66.249.64.1	TRUE	
2025-06-01T10:08:00	roger.federer@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/finance			Outlook	78.137.97.10	TRUE	
2025-06-01T10:08:00	roger.federer@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/hr			Teams	78.137.97.10	TRUE	
2025-06-01T10:09:00	zendaya.coleman@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/engineering			Office 365 Web	66.249.64.1	TRUE	
2025-06-01T10:09:00	beyonce.knowles@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/hr			Outlook	78.137.97.10	TRUE	
2025-06-01T10:10:00	brian.ramirez@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/hr		Inbox	Teams	78.137.97.10	TRUE	
2025-06-01T10:10:00	holly.wood@contoso.com	FileModified	https://contoso.sharepoint.com/sites/finance	Budget_35.xlsx		SharePoint	78.137.97.10	TRUE	
2025-06-01T10:11:00	beyonce.knowles@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/engineering			Teams	78.137.97.10	TRUE	
2025-06-01T10:11:00	jamie.arnold@contoso.com	TeamsSessionStarted	https://contoso.sharepoint.com/sites/hr			Browser	66.249.64.1	TRUE	
2025-06-01T10:16:00	gina.moore@contoso.com	FileModified	https://contoso.sharepoint.com/sites/engineering	Plan_50.pptx		SharePoint	86.23.123.45	TRUE	
2025-06-01T10:16:00	bilbo.baggins@contoso.com	FileModified	https://contoso.sharepoint.com/sites/marketing	Report_50.pdf		Browser	78.137.97.10	TRUE	
2025-06-01T10:17:00	roger.federer@contoso.com	FileAccessed	https://contoso.sharepoint.com/sites/finance	Strategy_39.pptx		SharePoint	78.137.97.10	TRUE	
2025-06-01T10:19:00	carla.gray@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/marketing			Office 365 Web	66.249.64.1	TRUE	
2025-06-01T10:19:00	connie.lawrence@contoso.com	FileModified	https://contoso.sharepoint.com/sites/finance	Budget_15.docx		Outlook	86.23.123.45	TRUE	
2025-06-01T10:19:00	zendaya.coleman@contoso.com	MoveToDeletedItems	https://contoso.sharepoint.com/sites/marketing		Inbox	SharePoint	66.249.64.1	TRUE	
2025-06-01T10:19:00	abigail.shaffer@contoso.com	FileModified	https://contoso.sharepoint.com/sites/finance	Plan_55.pdf		Office 365 Web	66.249.64.1	TRUE	
2025-06-01T10:24:00	abigail.shaffer@contoso.com	MailItemsAccessed	https://contoso.sharepoint.com/sites/engineering			Browser	66.249.64.1	TRUE	
2025-06-01T10:24:00	lisa.hensley@contoso.com	FileModified	https://contoso.sharepoint.com/sites/engineering	Plan_81.xlsx		Outlook	66.249.64.1	TRUE	
